file,relative_path,size_bytes,used_in_report
ring_resonator_student.icp,models_original/ring_resonator_student.icp,309766,Referenced as original model only; not included in Overleaf zip
ring_resonator_studentv2_fde.lms,models_original/ring_resonator_studentv2_fde.lms,1259772,Referenced as original model only; not included in Overleaf zip
ring_resonator_studentv2_varfdtd.lms,models_original/ring_resonator_studentv2_varfdtd.lms,1262100,Referenced as original model only; not included in Overleaf zip
